"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","PPP","TOT","NATUSD","A","2019",0.562517,
"SVN","PPP","TOT","NATUSD","A","2020",0.568426,
"ZAF","PPP","TOT","NATUSD","A","2016",6.159093,
"ZAF","PPP","TOT","NATUSD","A","2017",6.426701,
"ZAF","PPP","TOT","NATUSD","A","2018",6.519588,
"ZAF","PPP","TOT","NATUSD","A","2019",6.652566,
"ZAF","PPP","TOT","NATUSD","A","2020",6.848379,
"LVA","PPP","TOT","NATUSD","A","2016",0.484535,
"LVA","PPP","TOT","NATUSD","A","2017",0.484537,
"LVA","PPP","TOT","NATUSD","A","2018",0.49098,
"LVA","PPP","TOT","NATUSD","A","2019",0.496688,
"LVA","PPP","TOT","NATUSD","A","2020",0.491934,
"LTU","PPP","TOT","NATUSD","A","2016",0.43844,
"LTU","PPP","TOT","NATUSD","A","2017",0.44272,
"LTU","PPP","TOT","NATUSD","A","2018",0.446753,
"LTU","PPP","TOT","NATUSD","A","2019",0.450618,
"LTU","PPP","TOT","NATUSD","A","2020",0.450245,
"SAU","PPP","TOT","NATUSD","A","2016",1.63892,
"SAU","PPP","TOT","NATUSD","A","2017",1.649027,
"SAU","PPP","TOT","NATUSD","A","2018",1.795077,
"SAU","PPP","TOT","NATUSD","A","2019",1.769446,
"EA19","PPP","TOT","NATUSD","A","2016",0.729722,
"EA19","PPP","TOT","NATUSD","A","2017",0.721073,
"EA19","PPP","TOT","NATUSD","A","2018",0.713083,
"EA19","PPP","TOT","NATUSD","A","2019",0.707671,
"EA19","PPP","TOT","NATUSD","A","2020",0.711023,
"ARG","PPP","TOT","NATUSD","A","2016",9.294966,
"ARG","PPP","TOT","NATUSD","A","2017",10.256822,
"ARG","PPP","TOT","NATUSD","A","2018",14.019288,
"ARG","PPP","TOT","NATUSD","A","2019",20.713958,
"CRI","PPP","TOT","NATUSD","A","2016",343.013617,
"CRI","PPP","TOT","NATUSD","A","2017",340.991882,
"CRI","PPP","TOT","NATUSD","A","2018",342.664068,
"CRI","PPP","TOT","NATUSD","A","2019",341.441239,
"BGR","PPP","TOT","NATUSD","A","2016",0.666664,
"BGR","PPP","TOT","NATUSD","A","2017",0.67628,
"BGR","PPP","TOT","NATUSD","A","2018",0.681841,
"BGR","PPP","TOT","NATUSD","A","2019",0.698545,
"HRV","PPP","TOT","NATUSD","A","2016",3.382009,
"HRV","PPP","TOT","NATUSD","A","2017",3.324661,
"HRV","PPP","TOT","NATUSD","A","2018",3.301557,
"HRV","PPP","TOT","NATUSD","A","2019",3.272144,
"CYP","PPP","TOT","NATUSD","A","2016",0.622328,
"CYP","PPP","TOT","NATUSD","A","2017",0.615184,
"CYP","PPP","TOT","NATUSD","A","2018",0.608578,
"CYP","PPP","TOT","NATUSD","A","2019",0.608701,
"MLT","PPP","TOT","NATUSD","A","2016",0.583018,
"MLT","PPP","TOT","NATUSD","A","2017",0.586424,
"MLT","PPP","TOT","NATUSD","A","2018",0.583904,
"MLT","PPP","TOT","NATUSD","A","2019",0.576588,
"PER","PPP","TOT","NATUSD","A","2016",1.743377,
"PER","PPP","TOT","NATUSD","A","2017",1.749455,
"PER","PPP","TOT","NATUSD","A","2018",1.742287,
"ROU","PPP","TOT","NATUSD","A","2016",1.596926,
"ROU","PPP","TOT","NATUSD","A","2017",1.613571,
"ROU","PPP","TOT","NATUSD","A","2018",1.670907,
"ROU","PPP","TOT","NATUSD","A","2019",1.691192,
"MKD","PPP","TOT","NATUSD","A","2016",18.958641,
"MKD","PPP","TOT","NATUSD","A","2017",18.970176,
"MKD","PPP","TOT","NATUSD","A","2018",19.031017,
"MKD","PPP","TOT","NATUSD","A","2019",18.819007,
"ZMB","PPP","TOT","NATUSD","A","2016",3.877613,
"ZMB","PPP","TOT","NATUSD","A","2017",4.19258,
"ZMB","PPP","TOT","NATUSD","A","2018",4.474701,
"HKG","PPP","TOT","NATUSD","A","2016",5.931908,
"HKG","PPP","TOT","NATUSD","A","2017",6.011433,
"HKG","PPP","TOT","NATUSD","A","2018",6.082646,
"MDG","PPP","TOT","NATUSD","A","2016",940.873291,
"MDG","PPP","TOT","NATUSD","A","2017",1013.434631,
"MDG","PPP","TOT","NATUSD","A","2018",1064.35146,
"MAR","PPP","TOT","NATUSD","A","2016",4.017611,
"MAR","PPP","TOT","NATUSD","A","2017",4.02344,
"MAR","PPP","TOT","NATUSD","A","2018",3.969633,
"SGP","PPP","TOT","NATUSD","A","2016",0.878245,
"SGP","PPP","TOT","NATUSD","A","2017",0.88598,
"SGP","PPP","TOT","NATUSD","A","2018",0.881417,
"EU27_2020","PPP","TOT","NATUSD","A","2016",0.694376,
"EU27_2020","PPP","TOT","NATUSD","A","2017",0.6867,
"EU27_2020","PPP","TOT","NATUSD","A","2018",0.677999,
"EU27_2020","PPP","TOT","NATUSD","A","2019",0.67163,
"EU27_2020","PPP","TOT","NATUSD","A","2020",0.674812,
